id,date,manner_of_death,armed,age,gender,race,city,state,signs_of_mental_illness,threat_level,flee,body_camera
3,2015/1/2,shot,gun,53,M,A,Shelton,WA,TRUE,attack,Not fleeing,FALSE
4,2015/1/2,shot,gun,47,M,W,Aloha,OR,FALSE,attack,Not fleeing,FALSE
5,2015/1/3,shot and Tasered,unarmed,23,M,H,Wichita,KS,FALSE,other,Not fleeing,FALSE
8,2015/1/4,shot,toy weapon,32,M,W,San Francisco,CA,TRUE,attack,Not fleeing,FALSE
9,2015/1/4,shot,nail gun,39,M,H,Evans,CO,FALSE,attack,Not fleeing,FALSE
11,2015/1/4,shot,gun,18,M,W,Guthrie,OK,FALSE,attack,Not fleeing,FALSE
13,2015/1/5,shot,gun,22,M,H,Chandler,AZ,FALSE,attack,Car,FALSE
15,2015/1/6,shot,gun,35,M,W,Assaria,KS,FALSE,attack,Not fleeing,FALSE
16,2015/1/6,shot,unarmed,34,F,W,Burlington,IA,FALSE,other,Not fleeing,TRUE
17,2015/1/6,shot,toy weapon,47,M,B,Knoxville,PA,FALSE,attack,Not fleeing,FALSE
19,2015/1/6,shot and Tasered,knife,25,M,W,Stockton,CA,FALSE,attack,Not fleeing,FALSE
21,2015/1/7,shot,gun,31,M,B,Freeport,TX,FALSE,attack,Not fleeing,FALSE
22,2015/1/7,shot,knife,41,M,B,Columbus,OH,TRUE,other,Not fleeing,FALSE
25,2015/1/7,shot,gun,30,M,W,Des Moines,IA,FALSE,attack,Car,FALSE
27,2015/1/7,shot,gun,37,M,B,New Orleans,LA,FALSE,attack,Foot,TRUE
29,2015/1/8,shot,,28,M,W,Huntley,MT,FALSE,undetermined,Not fleeing,FALSE
32,2015/1/8,shot,shovel,42,M,W,Salt Lake City,UT,FALSE,attack,Not fleeing,TRUE
36,2015/1/8,shot,unarmed,36,M,B,Strong,AR,FALSE,attack,Not fleeing,FALSE
37,2015/1/8,shot,gun,49,M,W,Syracuse,UT,FALSE,attack,Not fleeing,TRUE
38,2015/1/9,shot,gun,71,M,W,England,AR,FALSE,attack,Not fleeing,FALSE
325,2015/1/9,shot,gun,33,M,H,El Paso,TX,FALSE,attack,Not fleeing,FALSE
42,2015/1/11,shot,gun,39,M,W,Arcola,IL,TRUE,attack,Not fleeing,FALSE
43,2015/1/11,shot,gun,23,M,H,South Gate,CA,FALSE,attack,Not fleeing,FALSE
45,2015/1/11,shot and Tasered,gun,29,M,H,North Las Vegas,NV,FALSE,attack,Foot,FALSE
46,2015/1/13,shot,gun,34,M,W,Albuquerque,NM,FALSE,attack,Foot,TRUE
48,2015/1/13,shot,knife,43,M,W,Jourdanton,TX,TRUE,other,Not fleeing,FALSE
49,2015/1/14,shot,,24,M,B,St. Paul,MN,FALSE,attack,Not fleeing,FALSE
50,2015/1/14,shot,,29,M,W,Franklin County,MO,FALSE,attack,Not fleeing,FALSE
51,2015/1/14,shot,gun,34,M,B,Chesapeake,VA,TRUE,attack,Not fleeing,FALSE
52,2015/1/14,shot,knife,75,M,W,Old Bridge,NJ,FALSE,attack,Not fleeing,FALSE
54,2015/1/14,shot,gun,68,M,W,Lake Jackson,TX,FALSE,attack,Not fleeing,FALSE
55,2015/1/14,shot,knife,34,M,W,Draper,UT,FALSE,attack,Not fleeing,TRUE
56,2015/1/15,shot,gun,27,M,B,Indianapolis,IN,FALSE,attack,Foot,FALSE
57,2015/1/15,shot,gun,39,M,B,Aurora,CO,FALSE,attack,Not fleeing,FALSE
60,2015/1/15,shot,gun,24,M,W,Bloomington,MN,TRUE,attack,Not fleeing,FALSE
63,2015/1/15,shot,knife,36,M,H,Fairfield,CA,TRUE,other,Not fleeing,FALSE
64,2015/1/15,shot,gun,33,M,W,Evangeline Parish,LA,FALSE,attack,Not fleeing,FALSE
67,2015/1/16,shot,gun,41,M,W,Mabank,TX,FALSE,attack,Car,FALSE
68,2015/1/16,shot and Tasered,knife,48,M,O,Fremont,CA,FALSE,other,Not fleeing,FALSE
74,2015/1/17,shot,gun,21,M,B,Muskogee,OK,FALSE,attack,Foot,TRUE
75,2015/1/17,shot,gun,24,M,H,Los Angeles,CA,FALSE,attack,Not fleeing,FALSE
78,2015/1/17,shot,knife,27,M,H,Fort Worth,TX,FALSE,attack,Not fleeing,FALSE
80,2015/1/18,shot,gun,32,M,W,Maricopa,AZ,TRUE,attack,Not fleeing,FALSE
83,2015/1/18,shot and Tasered,gun,67,M,W,Gunlock,KY,TRUE,attack,Not fleeing,FALSE
84,2015/1/19,shot,knife,49,M,W,Weymouth,MA,FALSE,attack,Not fleeing,FALSE
85,2015/1/20,shot,,42,M,B,Scottsdale,AZ,FALSE,other,Car,FALSE
86,2015/1/21,shot,gun,36,M,W,Hemet,CA,FALSE,attack,Not fleeing,FALSE
88,2015/1/21,shot,gun,36,M,H,Chapeno,TX,FALSE,attack,Foot,FALSE
90,2015/1/21,shot,gun,19,M,B,St. Louis,MO,FALSE,attack,Not fleeing,FALSE
98,2015/1/21,shot,gun,54,M,W,Derry,NH,TRUE,attack,Not fleeing,FALSE
99,2015/1/22,shot,toy weapon,25,M,B,Sierra Blanca,TX,FALSE,attack,Car,FALSE
100,2015/1/22,shot and Tasered,knife,17,F,W,Longview,TX,TRUE,other,Not fleeing,FALSE
101,2015/1/23,shot,,29,M,B,Fort Lauderdale,FL,FALSE,other,Not fleeing,FALSE
102,2015/1/23,shot,knife,56,M,H,Levelland,TX,FALSE,other,Not fleeing,FALSE
336,2015/1/23,shot,gun,61,M,W,Austin,TX,TRUE,attack,Not fleeing,FALSE
105,2015/1/24,shot,gun,45,M,W,Rexburg,ID,FALSE,attack,Not fleeing,FALSE
107,2015/1/24,shot,knife,26,M,B,Baltimore,MD,TRUE,other,Not fleeing,FALSE
341,2015/1/24,shot,gun,40,M,W,Fort Worth,TX,FALSE,attack,Not fleeing,FALSE
108,2015/1/25,shot,gun,26,M,H,Pueblo,CO,FALSE,attack,Car,FALSE
110,2015/1/25,shot,gun,59,M,,Winslow,NJ,FALSE,attack,Not fleeing,FALSE
20,2015/1/26,shot,,17,F,H,Denver,CO,FALSE,other,Not fleeing,FALSE
324,2015/1/26,shot,gun,68,M,W,New Hope,MN,TRUE,attack,Not fleeing,FALSE
352,2015/1/26,shot,unarmed,24,M,H,Tahoka,TX,FALSE,other,Car,FALSE
353,2015/1/26,shot,knife,34,M,H,Wasco,CA,TRUE,other,Not fleeing,FALSE
111,2015/1/27,shot,knife,39,F,W,Omaha,NE,TRUE,attack,Not fleeing,FALSE
348,2015/1/27,shot,,26,M,N,Phoenix,AZ,FALSE,other,Not fleeing,FALSE
349,2015/1/27,shot,gun,29,M,W,Morenci,AZ,FALSE,attack,Not fleeing,FALSE
350,2015/1/27,shot,gun,33,M,B,Columbus,OH,FALSE,attack,Not fleeing,FALSE
345,2015/1/28,shot,gun,45,M,W,Sunset,TX,FALSE,attack,Not fleeing,FALSE
347,2015/1/28,shot,gun,26,M,W,Rosenberg,TX,FALSE,attack,Not fleeing,FALSE
346,2015/1/28,shot and Tasered,hammer,35,M,A,Stockton,CA,TRUE,attack,Not fleeing,FALSE
112,2015/1/29,shot,gun,31,M,W,Wyoming,MI,TRUE,attack,Not fleeing,FALSE
342,2015/1/29,shot,unarmed,42,M,W,Stillwater,OK,FALSE,other,Foot,FALSE
113,2015/1/30,shot,gun,48,M,W,Billings,MT,FALSE,attack,Foot,FALSE
338,2015/1/31,shot,gun,31,M,H,Houston,TX,FALSE,attack,Not fleeing,FALSE
339,2015/1/31,shot and Tasered,knife,54,M,B,Randallstown,MD,TRUE,other,Not fleeing,FALSE
114,2015/2/2,shot,unarmed,59,M,W,Hummelstown,PA,FALSE,other,Foot,FALSE
115,2015/2/2,shot,gun,42,M,W,Apple Valley,CA,TRUE,attack,Not fleeing,FALSE
528,2015/2/2,shot,gun,17,M,W,Bay City,MI,FALSE,attack,Not fleeing,FALSE
117,2015/2/3,shot,gun,23,M,B,St. Louis,MO,FALSE,attack,Foot,FALSE
118,2015/2/3,shot,gun,38,F,B,Emeryville,CA,FALSE,attack,Car,FALSE
119,2015/2/3,shot,knife,29,M,B,Antioch,CA,TRUE,other,Not fleeing,FALSE
120,2015/2/3,shot,gun,45,M,W,Douglas,GA,TRUE,attack,Not fleeing,FALSE
116,2015/2/4,shot,unarmed,28,M,B,Tallahassee,FL,FALSE,attack,Not fleeing,FALSE
123,2015/2/4,shot,gun,37,M,H,Orlando,FL,FALSE,attack,Not fleeing,FALSE
124,2015/2/4,shot,gun,28,M,H,Tempe,AZ,FALSE,attack,Car,FALSE
125,2015/2/4,shot,unarmed,28,M,H,Tempe,AZ,FALSE,other,Not fleeing,FALSE
126,2015/2/4,shot,gun,51,M,B,Lorena,TX,FALSE,attack,Car,FALSE
127,2015/2/4,shot,knife,36,M,B,Memphis,TN,FALSE,other,Not fleeing,FALSE
128,2015/2/5,shot,gun,59,M,W,Chino,CA,FALSE,other,Car,FALSE
129,2015/2/6,shot,gun,25,M,B,Oklahoma City,OK,FALSE,attack,Not fleeing,FALSE
